0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:02 +0900] "GET /BookRecommend/images/kyobo.jpg HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:02 +0900] "GET /BookRecommend/images/aladin.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:02 +0900] "GET /BookRecommend/script/index-crawler.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:02 +0900] "GET /BookRecommend/images/interpark.jpg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:02 +0900] "GET /BookRecommend/book_info.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:02 +0900] "GET /BookRecommend/images/aladin.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:02 +0900] "GET /BookRecommend/images/kyobo.jpg HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:02 +0900] "GET /BookRecommend/images/interpark.jpg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:02 +0900] "GET /BookRecommend/script/index-crawler.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:02 +0900] "GET /BookRecommend/book_info.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:02 +0900] "GET /BookRecommend/images/aladin.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:02 +0900] "GET /BookRecommend/images/kyobo.jpg HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:02 +0900] "GET /BookRecommend/script/index-crawler.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:02 +0900] "GET /BookRecommend/images/interpark.jpg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:02 +0900] "GET /BookRecommend/book_info.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:02 +0900] "GET /BookRecommend/images/aladin.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:02 +0900] "GET /BookRecommend/images/kyobo.jpg HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:02 +0900] "GET /BookRecommend/images/interpark.jpg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:02 +0900] "GET /BookRecommend/script/index-crawler.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:08 +0900] "GET /BookRecommend/header.jsp HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
